	epi_isl	submitting_lab	originating_lab
328	EPI1144549	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
329	EPI1482911	Centers For Disease Control And Prevention	Adimmune Corporation
330	EPI1369240	Centers For Disease Control And Prevention	Who National Influenza Centre, National Institute Of Medical Research (nimr)
331	EPI1314775	Centers For Disease Control And Prevention	Adimmune Corporation
332	EPI1482887	Centers For Disease Control And Prevention	Adimmune Corporation
333	EPI1320826	Centers For Disease Control And Prevention	Who National Influenza Centre, National Institute Of Medical Research (nimr)
334	EPI1270491	National Institute Of Infectious Diseases (niid)	Nagano City Health Center
335	EPI1268552	Centers For Disease Control And Prevention	State Of Hawaii Department Of Health
336	EPI1311646	Centers For Disease Control And Prevention	Ministry Of Health Bahrain
337	EPI1408819	Centers For Disease Control And Prevention	Us Namru 6
338	EPI1278959	National Institute Of Infectious Diseases (niid)	National Institute Of Infectious Diseases (niid)
339	EPI1278933	National Institute Of Infectious Diseases (niid)	Sapporo City Institute Of Public Health
340	EPI1335237	Centers For Disease Control And Prevention	Who National Influenza Centre, National Institute Of Medical Research (nimr)
341	EPI1266189	Centers For Disease Control And Prevention	Center For Medical Microbiology
342	EPI1279013	National Institute Of Infectious Diseases (niid)	Center For Disease Control
343	EPI1326906	National Institute Of Infectious Diseases (niid)	Kawasaki City Institute Of Public Health 
344	EPI1482879	Centers For Disease Control And Prevention	Adimmune Corporation
345	EPI924816	Centers For Disease Control And Prevention	Adimmune Corporation
346	EPI772786	Centers For Disease Control And Prevention	Alaska State Virology Lab
347	EPI731069	Centers For Disease Control And Prevention	National Microbiology Laboratory, Health Canada
348	EPI706665	National Institute Of Infectious Diseases (niid)	Saitama City Institute Of Health  Science And Research
349	EPI827119	National Institute Of Infectious Diseases (niid)	Center For Disease Control
350	EPI813993	Centers For Disease Control And Prevention	Government Virus Unit
351	EPI866694	Centers For Disease Control And Prevention	Canberra Hospital
352	EPI778009	National Institute Of Infectious Diseases (niid)	Kanagawa Prefectural Institute Of Public Health
353	EPI976436	Centers For Disease Control And Prevention	National Institute Of Hygiene And Epidemiology
354	EPI1060823	Centers For Disease Control And Prevention	Ethiopian Public Health Institute, National Influenza Laboratory
355	EPI824886	Centers For Disease Control And Prevention	Instituto Adolfo Lutz
356	EPI775934	Centers For Disease Control And Prevention	Instituto De Salud Publica De Chile 
357	EPI686120	Centers For Disease Control And Prevention	Government Virus Unit
358	EPI814410	Centers For Disease Control And Prevention	Ivanovsky Research Institute Of Virology Rams
359	EPI943476	Centers For Disease Control And Prevention	National Institute Of Health
360	EPI832069	Centers For Disease Control And Prevention	Central Public Health Laboratory, Ministry Of Health
361	EPI765007	National Institute Of Infectious Diseases (niid)	Yokohama City Institute Of Public Health.
362	EPI1040259	Institut Pasteur	Institut Pasteur
363	EPI1631886	Centers For Disease Control And Prevention	North Carolina State Laboratory Of Public Health
364	EPI1048448	Centers For Disease Control And Prevention	Evandro Chagas Institute
365	EPI1028651	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
366	EPI865318	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
367	EPI836523	Centers For Disease Control And Prevention	Government Virus Unit
368	EPI1037974	National Institute Of Infectious Diseases (niid)	Gifu Municipal Institute Of Public Health
369	EPI912920	Centers For Disease Control And Prevention	Adimmune Corporation
370	EPI829918	Centers For Disease Control And Prevention	Central Public Health Laboratory, Ministry Of Health
371	EPI780744	Ministry Of Health, Singapore	Ministry Of Health, Singapore
372	EPI866686	Centers For Disease Control And Prevention	John Hunter Hospital
373	EPI909566	National Institute Of Infectious Diseases (niid)	National Institute Of Infectious Diseases (niid)
374	EPI1240240	Centers For Disease Control And Prevention	Institute Of Medical And Veterinary Science (imvs)
375	EPI832501	Centers For Disease Control And Prevention	Central Public Health Laboratory, Ministry Of Health
376	EPI854220	National Institute Of Infectious Diseases (niid)	Sapporo City Institute Of Public Health
377	EPI1085522	Centers For Disease Control And Prevention	Institut Pasteur De Madagascar
378	EPI1322050	Centers For Disease Control And Prevention	Cnr Influenza France Sud
379	EPI896825	Centers For Disease Control And Prevention	Institute Of Public Health
380	EPI854228	National Institute Of Infectious Diseases (niid)	Yokohama City Institute Of Public Health.
381	EPI1046842	National Institute Of Infectious Diseases (niid)	Center For Disease Control
382	EPI1043644	National Institute Of Infectious Diseases (niid)	Center For Disease Control
383	EPI1142274	Centers For Disease Control And Prevention	National Institute Of Health
384	EPI1086089	Centers For Disease Control And Prevention	Laboratorio Nacional De Influenza
385	EPI1197181	Centers For Disease Control And Prevention	Instituto Adolfo Lutz
386	EPI1205314	Centers For Disease Control And Prevention	Inrb Service De Virologie
387	EPI1248851	Centers For Disease Control And Prevention	Inrb Service De Virologie
388	EPI1118427	Centers For Disease Control And Prevention	Arizona Department Of Health Services
389	EPI1381186	Who Chinese National Influenza Center	Ministry Of Health, Singapore
390	EPI861942	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
391	EPI924935	Centers For Disease Control And Prevention	National Influenza Center French Guiana And French Indies
392	EPI1035199	Centers For Disease Control And Prevention	Delaware Public Health Lab
393	EPI1090847	Other Database Import	Washington State Public Health Laboratory
394	EPI955679	Centers For Disease Control And Prevention	Ministry Of Health Bahrain
395	EPI1603392	Kemri Wellcome Trust Research Programme (kwtrp)	Kemri Wellcome Trust Research Programme Cgmrc
396	EPI1056944	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
397	EPI1335213	Centers For Disease Control And Prevention	Instituto Nacional De Laboratoriosde Salud (inlasa)
398	EPI918543	Centers For Disease Control And Prevention	Yamaguchi Prefectural Institute Of Public Health And Environment
399	EPI1026758	Centers For Disease Control And Prevention	Florida Department Of Health Jacksonville
400	EPI1026750	Centers For Disease Control And Prevention	Dallas County Health And Human Services
401	EPI955687	Centers For Disease Control And Prevention	Ministry Of Health Bahrain
402	EPI1017096	Centers For Disease Control And Prevention	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
403	EPI897139	Centers For Disease Control And Prevention	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
404	EPI1023828	Ministry Of Health, Singapore	Ministry Of Health, Singapore
405	EPI1094351	Centers For Disease Control And Prevention	South Carolina Department Of Health
406	EPI1049447	Centers For Disease Control And Prevention	National Institute For Communicable Disease
407	EPI1057824	National Institute Of Infectious Diseases (niid)	Tokyo Metropolitan Institute Of Public Health
408	EPI1048283	Centers For Disease Control And Prevention	Institute Of Environmental Science & Research
409	EPI1146069	Centers For Disease Control And Prevention	National Institute Of Infectious Diseases (niid)
410	EPI1023784	Ministry Of Health, Singapore	Ministry Of Health, Singapore
411	EPI1277347	Centers For Disease Control And Prevention	Laboratório De Isolamento Viral
412	EPI1356504	Centers For Disease Control And Prevention	Cdc Kenya
413	EPI1368450	Centers For Disease Control And Prevention	Ministry Of Health Bahrain
414	EPI1636398	Centers For Disease Control And Prevention	Shaikh Khalifa Medical City
415	EPI1655160	U.s. Air Force School Of Aerospace Medicine	U.s. Air Force School Of Aerospace Medicine 
416	EPI1638701	Ministry Of Health, Singapore	Ministry Of Health, Singapore
417	EPI1667963	U.s. Air Force School Of Aerospace Medicine	U.s. Air Force School Of Aerospace Medicine 
418	EPI1649518	Centers For Disease Control And Prevention	Icddr,b International Centre For Diarrhoeal Disease Research, Bangladesh
419	EPI1636422	Centers For Disease Control And Prevention	Shaikh Khalifa Medical City
420	EPI1721436	Who Collaborating Centre For Reference And Research On Influenza	Medical Research Institute
421	EPI1721452	Who Collaborating Centre For Reference And Research On Influenza	Medical Research Institute
422	EPI1380685	Who Chinese National Influenza Center	Who Chinese National Influenza Center
423	EPI1482593	Centers For Disease Control And Prevention	National Center For Communicable Diseases
424	EPI1389863	National Institute Of Infectious Diseases (niid)	Mie Prefecture Health And Environment Research Institute
425	EPI1626954	Ministry Of Health, Singapore	Ministry Of Health, Singapore
426	EPI1484796	Who Collaborating Centre For Reference And Research On Influenza	National Centre For Scientific Services For Virology  And Vector Borne Diseases
427	EPI1723674	Centers For Disease Control And Prevention	Adimmune Corporation
428	EPI1484764	Who Collaborating Centre For Reference And Research On Influenza	National Centre For Scientific Services For Virology  And Vector Borne Diseases
429	EPI1595444	Who Collaborating Centre For Reference And Research On Influenza	John Hunter Hospital
430	EPI1751911	Centers For Disease Control And Prevention	Instituto Oswaldo Cruz Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)
431	EPI1606499	Centers For Disease Control And Prevention	Cdc Kenya
432	EPI1607117	Centers For Disease Control And Prevention	Institute Of Medical And Veterinary Science (imvs)
433	EPI1586982	Centers For Disease Control And Prevention	Adimmune Corporation
434	EPI1591203	Public Health Agency Of Sweden	Klinisk Mikrobiologi, Sahlgrenska Universitetssjukhuset Goteborg
435	EPI1797546	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
436	EPI1748818	Centers For Disease Control And Prevention	Caribbean Epidemiology Center
437	EPI1353548	National Institute Of Infectious Diseases (niid)	National Institute Of Infectious Diseases (niid)
438	EPI1362102	Centers For Disease Control And Prevention	Yokohama City Institute Of Public Health.
439	EPI1723682	Centers For Disease Control And Prevention	Adimmune Corporation
440	EPI1548440	Centers For Disease Control And Prevention	Central Laboratory Of Public Health
441	EPI1755923	Centers For Disease Control And Prevention	Instituto Oswaldo Cruz Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)
442	EPI1760152	Centers For Disease Control And Prevention	Ministry Of Health Bahrain
443	EPI1594826	Ministry Of Health, Singapore	Ministry Of Health, Singapore
